ID,Name,Category,Slot,Tags,Level,Description (Fluff),Effects,Cost,Value Per Level,School,Skill Total,Total Materials,Main Materials,Optional Materials,Base Item Options,Physical Resist,Fire Resist,Frost Resist,Brilliant Resist,Shadow Resist,Speed,Parry Defense,Dodge Defense,Vital Defense,Mental Defense,Instinct Defense,Shallow Health,Deep Health,Accuracy,Damage,Weapon Defense,Range,Relevant Skills,Might Requirement,Held Slots,Supplement,Material Types,Archetype
I134,Rockbiter's Bomb,Weapon,Held,Grenade,2,"The Rockbiter tribe's sole technological improvement on the standard bomb has been using hollowed-out, stalactite-shaped crustacean shells as the container, which greatly improves its accuracy when thrown — and lets a particularly stupid or brave Goblin use it as a Light melee weapon that explodes on hit.","A Level 2 alchemical Grenade, requiring Fire material to craft. Deals its Damage to the target and any adjacent squares. Can be used as a Light melee weapon that explodes on hit. When thrown, follows the [Grenade] rules — targets the foe's Dodge Defense, cannot Gamble on the attack, and is consumed after use. Bombs are prone to mishap: if a diamond is kept as the result of the Throwing flip to use one on a Card Value of 1, the wielder also takes 6 Physical damage.",,,,,,,,,,,,,,,,,,,,,,0,6,,"Close, or 3 × Body",Acrobatics or Melee,,1,Goblin Game,,
I135,Smoking Hills Bomb,Weapon,Held,Grenade,2,"Smoking Hills tribes have further improved the bomb's design, using the shells of metallic thermophile snails as the container. These well-made bombs do not have an accuracy penalty, but cannot be used effectively as a melee weapon.","A Level 2 alchemical Grenade, requiring Fire material to craft. Deals its Damage to the target and any adjacent squares. Follows the [Grenade] rules when thrown — targets the foe's Dodge Defense, cannot Gamble on the attack, and is consumed after use. Bombs are prone to mishap: if a diamond is kept as the result of the Throwing flip to use one on a Card Value of 1, the wielder also takes 6 Physical damage.",,,,,,,,,,,,,,,,,,,,,,0,6,,3 × Body,Acrobatics,,1,Goblin Game,,
I136,Bone,Material,,,1-5,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,Base Game,Bone,
I137,Cloth,Material,,,1-5,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,Base Game,Cloth,
I138,Leather,Material,,,1-5,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,Base Game,Leather,
I139,Metal,Material,,,1-5,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,Base Game,Metal,
I140,Wood,Material,,,1-5,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,Base Game,Wood,
I141,Food,Material,,,1-5,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,Base Game,Food,
I142,Medicinal,Material,,,1-5,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,Base Game,Medicinal,
I143,Precious,Material,,,1-5,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,Base Game,Precious,
I144,Brilliant,Material,,,1-5,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,Base Game,Brilliant,
I145,Fire,Material,,,1-5,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,Base Game,Fire,
I146,Frost,Material,,,1-5,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,Base Game,Frost,
I147,Shadow,Material,,,1-5,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,Base Game,Shadow,
I148,Shroud of Shadowy Stillness,Masterwork,Neck,,2,"A thin, gossamer cape that looks almost woven out of shadows, valued by scoundrels engaging in illegal business and those who simply cherish peace and quiet alike.","While wearing the shroud and not moving, the wearer becomes very hard to perceive, and has Good Luck on Stealth flips as long as they remain still.",40 Gold,,,,,Shadow,,I003,,,,,,,,,,,,,,,,,,,,,Base Game,,Skill/Utility Boost
I149,Watcher's Mantle,Masterwork,Neck,,2,"A thick, fur mantle that provides the wearer with a sense of comfort and alertness.","The wearer does not tire and never needs to sleep, and may benefit from a full night's rest whenever they choose - they may still only benefit from such a rest once per 24 hours, as usual. This only functions once the wearer has worn the mantle continuously for a full day.",40 Gold,,,,,Leather,,I003,,,,,,,,,,,,,,,,,,,,,Base Game,,Novelty/Flavor
I150,Shawl of the Land,Masterwork,Neck,,2,"Woven from cloth, ivy, fur, and other natural materials, these shawls were originally created by druidic sects to help wearers become more attuned to, and draw sustenance from, the earth.","The wearer does not need to eat or drink, and is nourished as though they were eating regular meals. They heal an extra 1 Health from getting a full night's rest. These benefits only function once the wearer has worn the shawl continuously for 24 hours.",40 Gold,,,,,Wood,,I003,,,,,,,,,,,,,,,,,,,,,Base Game,,Novelty/Flavor
I151,Choker of Defiance,Masterwork,Neck,,1-5,"A simple, unadorned choker that thrums faintly with a defiant energy, resisting whatever fate seems to have in store.","This choker has [twice the enhancement's Level] charges, regained after a full night's rest. Before making a flip, the wearer may spend X charges to Sift X cards and add their suits to the suit pool.",,20,,,,Metal,,I003,,,,,,,,,,,,,,,,,,,,,Base Game,,Defense
I152,Cloak of Faces,Masterwork,Neck,,5,"An incredibly rare, and by some accounts distasteful, item - usually made of rough leather, heavy and large, with a spacious hood.","Placed over the face of a recently-deceased humanoid, after a full round the cloak steals the corpse's face, leaving only bone and muscle beneath. After wearing the cloak for a full day, the wearer becomes attuned to it (lasting until another wearer attunes instead) and is aware of every face it has ever stolen. For 2 AP, the wearer may raise the hood and replace their face with any face the cloak has stolen - this actually changes their features, not an illusion, until the hood is lowered.",100 Gold,,,,,"Leather, Shadow",,I003,,,,,,,,,,,,,,,,,,,,,Base Game,,Novelty/Flavor
I153,Field Surgeon's Handwraps,Masterwork,Hands,,2,"Thin gloves that appear to be wrapped from bandaging, carrying a subtle mint scent - any liquid or dirt that stains them fades away after only a short time.",The wearer has Good Luck on Medicine flips.,40 Gold,,,,,Medicinal,,I002,,,,,,,,,,,,,,,,,,,,,Base Game,,Skill/Utility Boost
I154,Gloves of Spatial Distortion,Masterwork,Hands,,3,"Fine gloves of flexible leather, their cuffs stitched with a spiderweb of silver and gold threading.","For 3 AP, the wearer may designate two points on solid surfaces within 20 meters they can see - one an entrance, one an exit, each about half a meter wide. The wearer and anything they've touched that round may pass through the entrance and emerge from the exit, as though the two surfaces were joined by a window. Only the wearer can see the points (a faint shimmering distortion), though onlookers will notice an arm or object emerging from a solid surface. The points last for the encounter, or until the gloves create a new pair.",60 Gold,,,,,"Fire, Frost, Brilliant, or Shadow",,I002,,,,,,,,,,,,,,,,,,,,,Base Game,,Mobility
I155,Shadowcat Slippers,Masterwork,Feet,,2,"Dull, unassuming slippers of black cloth. The wearer finds they have a surprising grip, springing up walls as easily as cobblestone roads.","The wearer can run up walls and other vertical surfaces, but must end their turn on a stable surface or fall.",40 Gold,,,,,Shadow,,I002,,,,,,,,,,,,,,,,,,,,,Base Game,,Mobility
I156,Greaves of the Warlock King,Masterwork,Feet,,5,Ornate greaves said to have been worn by a warlock-king who ruled through speed and surprise as much as sorcery.,"Once per turn, for 1 AP, the wearer may Teleport [twice their Speed] meters.",100 Gold,,,,,Shadow,,I002,,,,,,,,,,,,,,,,,,,,,Base Game,,Mobility
I157,"Ring of Charming, Assertive, or Bold Statements",Masterwork,Ring,,1,"Smithed from thick metals, usually simple in style - iron, or an extravagant blend of gold, platinum, and other precious metals. The wearer finds that when they make an earnest request, a convincing argument, or a menacing threat, their words carry extra weight.","This ring is created as a ring of Charming, Assertive, or Bold Statements, chosen when the item is created. Once per encounter, the wearer may gain Good Luck on a Statement made using Rapport (if Charming), Persuasion (if Assertive), or Presence (if Bold).",20 Gold,,,,,Metal,,I003,,,,,,,,,,,,,,,,,,,,,Base Game,,Social
I158,Ring of Pure Elements,Masterwork,Ring,,3,A large ring studded with a variety of multi-colored gemstones.,"Once per encounter, when the wearer makes a damaging spell attack, they may have it deal its damage as Fire, Frost, Brilliant, or Shadow instead of its normal type.",60 Gold,,,,,"Fire, Frost, Brilliant, or Shadow",,I003,,,,,,,,,,,,,,,,,,,,,Base Game,,Implement
I159,Heartseeker,Masterwork,Held,Implement,5,"Forged of a blood-red steel, or some equally sinister material, the bearer feels a subtle pressure guiding their strikes toward the heart of anyone who stands against them.","When the wielder makes an attack with this weapon, they may treat any card flipped for it as a Heart.",100 Gold,,,,,Bone,,"I117,I118,I119,I120,I121,I122,I123,I124,I126",,,,,,,,,,,,,,,,,,,,,Base Game,,"Weapon, Implement"
I160,Valiant Arms,Masterwork,Held,Implement,3,"Reinforced and sturdy, the style of this weapon makes it feel reassuring in one's hands.","When this weapon is used to make an attack, if the wielder moved at least 6 meters in a relatively straight line this turn, they have Good Luck on the attack.",60 Gold,,,,,Metal,,"I117,I118,I119,I120,I121,I122,I123,I124,I126",,,,,,,,,,,,,,,,,,,,,Base Game,,"Weapon, Implement"
I161,Placeholder's Speedy Scepter,Masterwork,Held,Implement,5,"The legendary regalia considered the pinnacle of Placeholder's illustrious enchanting career, serving as a near-perfect conduit for magical power.","Abilities used with this cost 1 less AP, to a minimum of 1 AP.",100 Gold,,,,,Precious,,"I117,I118,I119,I120,I121,I122,I123,I124,I126",,,,,,,,,,,,,,,,,,,,,Base Game,,"Weapon, Implement"
I162,Immaculate Spice Rack,Masterwork,Other,,1,"A set of crystalline vials and bottles secured in a soft leather case, haunted by a variety of salacious aromas, each etched with runes detailing the essence contained within.","When used to create or season a culinary dish, the user has Good Luck on any related flips.",20 Gold,,,,,"Wood, Precious",,,,,,,,,,,,,,,,,,,,,,,Base Game,,Skill/Utility Boost
I163,Unmovable Bar,Masterwork,Other,,1,"A round iron bar with small grooves at either end and no other discernible features, save for faint runes along its surface.","When the grooves are rotated in a specific manner, the bar hangs in place and does not move from where it is - even if staying in place defies gravity - until the grooves are rotated back. An unmovable bar can support up to 1,000 kilograms before falling, and requires the same amount of force to move.",20 Gold,,,,,"Metal, Precious",,,,,,,,,,,,,,,,,,,,,,,Base Game,,Novelty/Flavor
I164,Placeholder's Indelible Instrument,Masterwork,Other,,1,"A small metal pen, unadorned outside but filled with a fine mesh of crystal and lenses. Its tip is smooth, black stone.","When drawn across a surface, the pen leaves a black mark. The mark doesn't change the surface, only colors it, and can only be removed by damaging the item - scraping away the surface, carving away wood, and so on. A mark on a living creature fades once the creature sheds its skin.",20 Gold,,,,,"Metal, Precious",,,,,,,,,,,,,,,,,,,,,,,Base Game,,Novelty/Flavor
I165,Placeholder's Wondrous Workspace,Masterwork,Other,,2,"This large chest counts as any set of tools needed to create items, including a forge.",The chest fulfills the tool or Skill Kit requirement for any creation School.,40 Gold,,Smithing,,,"Metal, Wood",,,,,,,,,,,,,,,,,,,,,,,Base Game,,Skill/Utility Boost
I166,"Cart, Medium",Pack/Gear,,,1,"A more substantial wooden cart, reinforced with metal and generally large enough that it requires a handful of people or a pack animal to pull along.","Enough room for a few humanoids, several moderately-sized crates of trade goods, or a similar load.",24 Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,Base Game,,
I167,"Wagon, Large",Pack/Gear,,,1,"A great wooden wagon, made from sturdy timber and bands of iron. Wagons of this size generally have walls and a covered top, with a bench for the driver and a cabin for passengers and cargo - designs vary between cultures, from loading ramps for cargo wagons to fold-down stage walls for traveling performers.","Enough room for several people and their belongings, or a couple dozen barrels or crates of goods, assuming the interior isn't used for other features.",48 Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,Base Game,,
I168,Cap of Smug Confidence,Masterwork,Head,,2,"These hats are simple but impressively crafted, designed in an understated fashion but woven with silver threading and other expensive materials.","The wearer has their anxieties dampened, and gains a +1 bonus to Instinct Defense against Statements.",40 Gold,,,,,Brilliant,,"I002,I003",,,,,,,,,,,,,,,,,,,,,Base Game,,Social
I169,Stoic Skullcap,Masterwork,Head,,2,"These caps provide the wearer a sense of calm and clarity when dealing with others, a feeling that intensifies the more another tries to menace or win them over with raw charisma.",The wearer gains a +1 bonus to Mental Defense against Statements.,40 Gold,,,,,Brilliant,,"I002,I003",,,,,,,,,,,,,,,,,,,,,Base Game,,Social
I170,Sympathetic Hat,Masterwork,Head,,2,"The enchantment placed on these hats helps attune the emotions of the wearer with those around them - not enough to affect their own thoughts or desires, but enough to help them understand the feelings that drive others.",The wearer gains a +1 bonus to Instinct Defense.,40 Gold,,,,,Brilliant,,"I002,I003",,,,,,,,,,,,,,,,,,,,,Base Game,,Defense
I171,Wizardly Hat of Tam the Tipsy,Masterwork,Head,,3,"An old, battered wizard's hat with a wide brim and a long, pointy tip, patched and stained many times. Its haggard appearance is part of its power - the hat contains the power of the famous sorcerer-brewmaster Tam the Tipsy.","Whenever the wearer drinks Alcohol, they may regain the use of an Encounter Technique with a Level equal to or lower than the Alcohol's own Level.",60 Gold,,,,,Fire,,"I002,I003",,,,,,,,,,,,,,,,,,,,,Base Game,,Novelty/Flavor
I172,Headband of Telepathy,Masterwork,Head,,1,"A headband, bandanna, or full hat with a band inside, woven with silver threads and clear crystals typically used in divination magics.","The wearer can communicate telepathically with one creature they can see within 20 meters, for the rest of the scene.",20 Gold,,,,,Precious,,"I002,I003",,,,,,,,,,,,,,,,,,,,,Base Game,,Novelty/Flavor
I173,Cloak of One Thousand Feathers,Masterwork,Neck,,2,"A breathtaking number of soft, smooth feathers stitched into a wispy cloak that billows and flows slightly, even in still air.","Whenever the wearer would fall, instead they glide - moving 5 meters toward the ground and 5 meters horizontally, as they choose - ignoring any effects of falling from a height regardless of distance. This takes no action to do, but while gliding the wearer cannot move normally.",40 Gold,,,,,Brilliant,,I003,,,,,,,,,,,,,,,,,,,,,Base Game,,Mobility
I174,Cape of Many Pockets,Masterwork,Neck,,3,"Usually large and dramatic, in the style of warm, bulky traveler's cloaks, these capes feature a dozen pouches along the outside or inside, barely large enough to fit a hand in but capable of holding objects much larger.","The cape has 12 pouches, each an easily-accessible container that can hold an object no larger than 1 meter in any dimension. Stored items are weightless and cannot be damaged; if the cape is destroyed, everything stored in it tumbles out unharmed.",60 Gold,,,,,"Fire, Frost, Brilliant, or Shadow",,I003,,,,,,,,,,,,,,,,,,,,,Base Game,,Storage
I176,Jerkin of the Land,Masterwork,Torso,,2,"Armor created in a simple style, usually incorporating cloth, ivy, fur, and other natural materials - made by druidic sects to help its wearer become more attuned to, and draw sustenance from, the earth.","The wearer does not need to eat or drink, and is nourished as though they were eating regular meals. They heal an extra 1 Health from getting a full night's rest.",40 Gold,,,,,Wood,,"I128,I129,I002",,,,,,,,,,,,,,,,,,,,,Base Game,,Novelty/Flavor
I177,Fitted Armor,Masterwork,Torso,,5,"Heavier armor provides protection at the cost of mobility, but some talented smiths can mitigate this limitation - by connecting the plate and chain of heavy armor in specific ways, the craftsman creates armor that limits the wearer's movement less than it otherwise would.",The armor's Might Requirement is reduced by 1.,100 Gold,,,,,Metal,,"I128,I129,I002",,,,,,,,,,,,,,,,,,,,,Base Game,,Defense
I178,Sorcerer's Gloves,Masterwork,Hands,,2,"Light, silken gloves woven with silver and gold thread, extremely durable despite seeming thin and fragile. When the wearer channels magical energy, gemstones stitched along the gloves light up in a variety of colors.","The wearer can throw a bolt of energy at a creature within their Sorcery Skill Total in meters, making a Sorcery attack against the target's Dodge or Parry Defense. On a hit, it deals 3 + [Mind] Physical damage.",40 Gold,,,,,"Fire, Frost, Brilliant, or Shadow",,I002,,,,,,,,,,,,,,,,,,,,,Base Game,,"Implement, Weapon"
I179,Apprentice's Dueling Catalyst,Masterwork,Held,Implement,1,"Traditionally crafted as a staff, although sometimes found as ritual daggers or scepters, these foci control the energy channeled through them to ensure the wielder's magic doesn't kill their target.",Spell attacks made using this as an Implement that would Down a creature instead render them unconscious rather than killing them.,20 Gold,,,,,Precious,,"I117,I118,I119,I120,I121,I122,I123,I124,I126",,,,,,,,,,,,,,,,,,,,,Base Game,,"Weapon, Implement"
I180,Staying Gauntlets,Masterwork,Hands,,1,"Simple gauntlets, treated with a numbing salve worked into the leather. A fighter wearing them finds their blows land softer than they mean them to - never quite enough to land a killing stroke, only enough to take the fight out of someone.",Weapon attacks made by the wearer that would Down a creature instead render them unconscious rather than killing them.,20 Gold,,,,,Medicinal,,I002,,,,,,,,,,,,,,,,,,,,,Base Game,,Weapon
I181,Elemental Bloodletter,Masterwork,Held,Implement,2,"Often etched with runes of power or augmented to be more magically conductive, these weapons convert part of each attack into the enchantment's corresponding element - a flaming sword might have gouts of flame leap off the blade with each strike, a shadowed axe might have its blade wreathed in darkness.","When the weapon is created, choose Fire, Frost, Brilliant, or Shadow - it deals its damage as that type instead of Physical. Whenever an attack with it would cause a creature to lose Health, they instead gain that many stacks of Bleeding.",40 Gold,,,,,"Fire, Frost, Brilliant, or Shadow",,"I117,I118,I119,I120,I121,I122,I123,I124,I126",,,,,,,,,,,,,,,,,,,,,Base Game,,"Weapon, Implement"
I182,Sanguine Iron Weapon,Masterwork,Held,Implement,4,"These weapons' properties are due largely to the process by which they're constructed - gathering large amounts of blood and magically sifting the iron from it, then working it into a blade with an incredibly strong sympathy for the blood of living creatures.","Whenever an attack with the weapon causes the target to lose Health, they also gain a stack of Bleeding.",80 Gold,,,,,Bone,,"I117,I118,I119,I120,I121,I122,I123,I124,I126",,,,,,,,,,,,,,,,,,,,,Base Game,,"Weapon, Implement"
I183,Returning Knives,Masterwork,Held,Implement,1,"While this enchantment is commonly placed on knives or other small missiles, it can in theory be worked into any weapon designed to be thrown.","When the weapon is thrown as part of an attack, at the start of the wielder's next turn it returns to their hand.",20 Gold,,,,,"Wood, Bone, or Metal",,"I117,I118,I119,I120,I121,I122,I123,I124,I126",,,,,,,,,,,,,,,,,,,,,Base Game,,"Weapon, Implement"
I184,Spiritlink Scepter,Masterwork,Held,Implement,3,"Traditionally crafted as a wooden scepter, although occasionally done in other styles or even as other weapons. Much of the weapon is wrapped in scraps of prayer shawl and adorned with simple beads, and while held the wielder feels a faint, insubstantial energy flow through them, like a flowing river or a spring breeze.","Theurgy spells cast using this as an Implement have their Range increased by 3 meters. For such spells that aren't ranged, the wielder may choose any point within 3 meters of themself to be their location for determining the spell's targets or area of effect.",60 Gold,,,,,Brilliant,,"I117,I118,I119,I120,I121,I122,I123,I124,I126",,,,,,,,,,,,,,,,,,,,,Base Game,,"Weapon, Implement"
I185,Scepter of Evocation,Masterwork,Held,Implement,4,"A focus surging with elemental power, which the wielder can tap into with some effort.","A spell cast using this as an Implement that would normally cost 2 or fewer AP may instead be cast for 4 AP. If it is, the caster has Good Luck on any attacks made as part of the spell.",80 Gold,,,,,"Fire, Frost, or Shadow",,"I117,I118,I119,I120,I121,I122,I123,I124,I126",,,,,,,,,,,,,,,,,,,,,Base Game,,"Weapon, Implement"
I186,Quartermaster's Blade,Masterwork,Held,Implement,1,"These weapons can be crafted in just about any style or appearance, from a worn and simple club to an elegant courtier's blade with precious metals worked in - fitting, since the weapon's enchantment lets it change its shape to that of any other weapon while keeping its own design and aesthetic.","As a Move, the wielder can change the weapon's shape to that of any other single weapon, including shields. If it's turned into a ranged weapon, it does not create ammunition.",20 Gold,,,,,"Wood, Bone, or Metal",,"I117,I118,I119,I120,I121,I122,I123,I124,I126",,,,,,,,,,,,,,,,,,,,,Base Game,,"Weapon, Implement"
I187,Windrider's Loop,Masterwork,Ring,,2,"A winding ring of steel and silver, wrapping a dozen times around the wearer's finger. When worn, the wearer feels the breeze more strongly against their hand.","Once per encounter, when making a weapon attack, the wearer may increase that weapon's Range by 5 meters.",40 Gold,,,,,Metal,,I003,,,,,,,,,,,,,,,,,,,,,Base Game,,Weapon
I188,Surestride Boots,Masterwork,Feet,,3,"These boots come in a variety of designs, from hiking boots to snowshoes, but the enchantment powering them stays the same - desired by trappers, explorers, and anyone who spends time in the wilderness, giving their wearer a firm foothold on almost any landscape.",The wearer ignores 2 levels of Difficult Terrain.,60 Gold,,,,,"Wood, Bone",,I002,,,,,,,,,,,,,,,,,,,,,Base Game,,Mobility
I189,Placeholder's Bottomless Belt,Masterwork,Belt,,1,"Crafted in an unassuming style - only close inspection reveals the belt's secrets. Careful application of spatial enchantments gives this belt multiple compartments transposed over each other, letting the wearer store an entire alchemist's workshop in a single belt.","The belt has 20 pouches, each an easily-accessible container that can hold a small object such as a Potion or Grenade.",20 Gold,,,,,Leather,,I002,,,,,,,,,,,,,,,,,,,,,Base Game,,Storage
I190,Basic Conveniences,Pack/Gear,,,1,"Covers a wide variety of goods that don't require any particular knowledge to make - soap, reduced dyes, filtered lubricants and oils, wax and other materials for treating wood and leather, polished stone, and so on.","Except for specific recipes, this category likely covers whatever a character wants to make with basic alchemical skill.",1 Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,Base Game,,
I191,Charcoal,Pack/Gear,,,1,"Charcoal from a woodfire, filtered and purified with some special preparation, kept in small pieces in a pouch or other container.","If a creature ingests a Poison, fails their Resistance flip to avoid its effect, and eats a mouthful of charcoal within 1 minute, they may immediately make another Resistance flip against it, with Good Luck.",1 Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,Base Game,,
I192,"Incense, Simple",Pack/Gear,,,1,"Used widely across many cultures for ritual and everyday use, simple incense has an indistinct, muddled aroma - not the quality one would use for a serious ritual, but common in cheap taverns, brothels, and fortune-tellers' parlors. Sold in bricks that burn for a few hours.",,1 Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,Base Game,,
I193,"Incense, Quality",Pack/Gear,,,2,"Made by a skilled alchemist from more particular ingredients, quality incense is distinctly better than simply burning plants in a jar.",,1 Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,Base Game,,
I194,Oil,Pack/Gear,,,1,"A basic good burned in lamps and used for a variety of other things, sold in a small flask. Rendering it pure enough to burn properly takes some basic alchemical skill, though not much.",,1 Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,Base Game,,
I195,"Alcohol, Simple",Pack/Gear,,,1,"Among the most basic and relatively weak alcohols one can make - ale from a low-end tavern, wine from a large stone jug, ""whiskey"" from the most questionable of grains.","One ""drink"" is about a pint or half-liter.",1 Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,Base Game,,
I196,"Alcohol, Decent",Pack/Gear,,,2,"Made by someone who actually knows what they're doing - a solid beer, a wine with an actual vintage, a hard liquor that's genuinely enjoyable.","One ""drink"" is about a pint or half-liter.",2 Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,Base Game,,
I197,"Alcohol, Quality",Pack/Gear,,,3,"A step above common taproom swill - the kind of drink with an actual name behind it, distilled or brewed by someone with real skill.","One ""drink"" is about a pint or half-liter.",3 Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,Base Game,,
I198,"Alcohol, Artisanal",Pack/Gear,,,4,"Crafted by a renowned distiller or vintner, the kind of bottle worth remembering the name of.","One ""drink"" is about a pint or half-liter.",4 Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,Base Game,,
I199,"Alcohol, Legendary",Pack/Gear,,,5,"Transcends mere technique - a bottle of spirits that only results from a substantial undertaking, the kind used to curry favor from kings and archmages.","One ""drink"" is about a pint or half-liter.",5 Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,Base Game,,
I200,Embalming Fluid,Pack/Gear,,,2,"Used across cultures to preserve the dead - mummification rites, or more academic and occult practices like preserving organs in jars.","Any organic matter fully covered in embalming fluid does not decay. For a full corpse, this usually means soaking and wrapping it in bandages rather than submerging it. Embalming fluid is harmful if ingested, behaving as a dangerous Poison.",1 Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,Base Game,,
I201,Quicktorch,Tool/Kit,,,1,"A wooden stick with a specially prepared head, hollowed out and treated with alchemical mixtures that react violently when struck against a rough surface.","Functions as a normal torch, except it may be lit for 1 AP without needing any other tools.",1 Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,Base Game,,
I202,"Recreational Drugs, Poor Quality",Pack/Gear,,,1,"Naturally-occurring plants smoked or ingested for a high exist alongside manufactured drugs - for drugs of this quality, the refining process was done improperly, the base materials were too poor, or the drug itself is simply dangerous. These form strong habits, and withdrawal can be lethal.",,1 Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,Base Game,,
I203,"Recreational Drugs, Quality",Pack/Gear,,,3,"Covers a wide array of possible drugs, but substances of this caliber share a few things in common - they tend not to have harmful effects beyond an altered state of mind while active, which fully subsides once the drug runs its course.",,1 Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,Base Game,,
I204,Kiss of the Earth,Potion,,,3,"A skilled alchemist can distill medicinal herbs into a potion that clots wounds almost instantaneously, saving an otherwise mortally-wounded soldier from impending death.","When consumed, until you take a full night's rest the first 3 stacks of Bleeding you would gain, instead you don't. If you already have stacks of Bleeding, remove them and count them against the total.",,,,,,Bone,,,,,,,,,,,,,,,,,,,,,,,Base Game,,Healing/Protection
I205,Predator's Cry,Potion,,,3,"Straining the blood of tigers, bears, and other hunters together with certain medicinal herbs produces a curative that helps the drinker push through weakness and numbness in their limbs.","When consumed, until you take a full night's rest the first 3 stacks of Crippled or Slowed you would gain, instead you don't. If you already have stacks of either, remove them and count them against the total.",,,,,,Bone,,,,,,,,,,,,,,,,,,,,,,,Base Game,,Healing/Protection
I206,Revivification Draught,Potion,,,4,"A carefully balanced regenerative tonic, prized by field medics and battle-mages alike for its versatility -- rather than a single burst of healing, it mends the body steadily over time, its effects equally capable of closing shallow wounds or restoring deeper reserves of vitality as the drinker's body needs most.","When consumed, you heal 1 Health (your choice of Shallow or Deep) at the start of each of your next 4 turns.",,,,,,Bone,,,,,,,,,,,,,,,,,,,,,,,Base Game,,Healing/Protection
I207,Reeler,Grenade,,,3,"When the contents of this flask are mixed, traces of electrically-charged stone react with alchemical reagents to produce a blast closely resembling a small burst of lightning, leaving whatever it strikes reeling from the shock.",On a hit it deals 8 Fire damage and the target gains 4 + [Diamonds] stacks of Harried.,,,,,,Fire,,,,,,,,,,,,,,,,,,,,,,,Base Game,,Damage+Debuff
I208,Elemental Warding Amulet,Masterwork,Ring,,"1, 2","A silver pendant encrusted with gemstones matching one or more of the elements - rubies and garnets for Fire, sapphires for Frost, brilliant-cut diamonds for Brilliant, and dark obsidian for Shadow. The enchantment serves a simple purpose: protecting the wearer from elemental harm.","When this enhancement is created, choose Fire, Frost, Brilliant, or Shadow. Once per encounter, you may gain 1 stack of Ward of the chosen type (2 stacks if this enhancement is Level 2).",,20,,,,"The opposite of the chosen element - Fire for Frost, Brilliant for Shadow, and vice versa",,I003,,,,,,,,,,,,,,,,,,,,,Base Game,,Defense
I209,Mendicant's Cord,Masterwork,Belt,,2,"A sash woven from common linen and cotton thread, yet as strong and sturdy as if it were spun from steel, infused with its power through spiritually-charged rituals and long meditation.","As a Move, you may touch yourself or a willing adjacent creature and shift up to 2 points from one of their Defenses to another - the raised Defense can't end up higher than the lowered one's new value.",40 Gold,,,,,Brilliant,,I002,,,,,,,,,,,,,,,,,,,,,Base Game,,Defense
I210,Scaraculpi's Gleaming Justice,Masterwork,Held,,5,"A ritual whose knowledge was lost to mortal smiths - rumored to have demanded immense sacrifice to power, whether in blood or in rare and costly reagents. Whatever the cost, the result is a weapon of unrivaled potency, and value to match.",The wielder has Good Luck on attacks made with this weapon.,100 Gold,,,,,Brilliant,,"I117,I118,I119,I120,I121,I122,I123,I124,I126",,,,,,,,,,,,,,,,,,,,,Base Game,,"Weapon, Implement"
I211,Worry Token,Masterwork,Neck,,2,"These tokens appear in virtually every culture, taking forms as varied as a revered ancestor's finger bone, a rune-etched jewel, or a vial of holy water - discerning their true nature usually takes real expertise or a talent for divination.","Worn around the neck through a full night's rest, the token fills with three charges, losing any it had before. As a Move, you may draw on the token, expending 1 charge; the GM secretly determines the effect, which you don't learn in advance (though its result may be obvious once it happens). More often than not, nothing happens. Otherwise: you heal 1 Health; you gain a +2 bonus on the second flip you make within the next 2 hours; before sunset, the next person you speak to thinks slightly more favorably of you (no effect at night); within the next hour, the next attack made against one of your Defenses gives that Defense a +2 bonus against it; your next attack ignores the target's Physical Resist; or after 6 hours you draw a card.",40 Gold,,,,,Shadow,,I003,,,,,,,,,,,,,,,,,,,,,Base Game,,Defense
