ID,Name,Description (original),Fluff (draft),Effects (draft),Status
I100,Conflagration Brand,"A staff of charred wood or blade of blackened metal, twisting magical energy into pure, explosive, elemental force. Attacks from this cruel weapon blister and crack where they strike, causing even greater damage to their victims.
When an attack with this weapon hits, before any damage or other effects are applied, the target gains a stack of Bleeding. Non-weapon attacks made through this deal their damage as Fire.","A staff of charred wood or blade of blackened metal, twisting magical energy into pure, explosive, elemental force. Attacks from this cruel weapon blister and crack where they strike, causing even greater damage to their victims.","When an attack with this weapon hits, before any damage or other effects are applied, the target gains a stack of Bleeding. Non-weapon attacks made through this deal their damage as Fire.",OK
I101,Elemental-Forged Weaponry,"Often etched with runes of power or augmented with some material to make them more magically conductive, these weapons convert part of each attack made with them into the enchantment's corresponding element. These weapons usually give distinct visual cues that their enchantments are in effect, as a flaming sword might have gouts of flame leap off the blade with each attack and a shadowed axe might have the blade wreathed in darkness.
When the weapon is made, Fire is chosen; if the enhancement is Level 4, Frost, Brilliant, or Shadow may be chosen instead.
Attacks with this weapon deal their damage as that type, instead of their usual type.","Often etched with runes of power or augmented with some material to make them more magically conductive, these weapons convert part of each attack made with them into the enchantment's corresponding element. These weapons usually give distinct visual cues that their enchantments are in effect, as a flaming sword might have gouts of flame leap off the blade with each attack and a shadowed axe might have the blade wreathed in darkness.","When the weapon is made, Fire is chosen; if the enhancement is Level 4, Frost, Brilliant, or Shadow may be chosen instead.
Attacks with this weapon deal their damage as that type, instead of their usual type.",OK
I102,Fanged Guard,"Weapons and shields designed for parrying and blocking, frequently styled with spikes, thorns, barbs.
When the weapon is used to successfully Parry an attack from an adjacent creature, that creature gains a stack of Bleeding.","Weapons and shields designed for parrying and blocking, frequently styled with spikes, thorns, barbs.","When the weapon is used to successfully Parry an attack from an adjacent creature, that creature gains a stack of Bleeding.",OK
I103,Thrumming Focus,"A weapon gently trembling with power; by focusing, the wielder can draw this power out and use it to strike true.
The wielder may spend an extra 1 AP for any action involving an attack with this weapon. If they do, any such attack has Good Luck.","A weapon gently trembling with power; by focusing, the wielder can draw this power out and use it to strike true.","The wielder may spend an extra 1 AP for any action involving an attack with this weapon. If they do, any such attack has Good Luck.",OK
I104,Apocalyptic Staff,"Etched with a series of runes, appearing crude to the untrained eye but done in a manner to tap into chaotic energies and direct them in wild and unpredictable ways.
Once per encounter, the wielder may choose a version of the Elementalist's Artillery (Level 4) battle magic Technique, selecting any features as though they were learning the Spell, and cast it as though they knew it.","Etched with a series of runes, appearing crude to the untrained eye but done in a manner to tap into chaotic energies and direct them in wild and unpredictable ways.","Once per encounter, the wielder may choose a version of the Elementalist's Artillery (Level 4) battle magic Technique, selecting any features as though they were learning the Spell, and cast it as though they knew it.",OK
I105,Sash of Deep Pockets,"A subtle and minimal-looking sash, concealing a dozen small pockets in its folds. Surprisingly, these pockets can hold much larger objects than a belt pouch normally would.
Each of the sash’s 12 pouches can hold one object at a time, and as long as an object is no larger than 1 meter in any dimension it can be stored in a pouch, distorting as it slips away into the small opening. Items are stored and retrieved from pouches as though it were an easily-accessible location. While stored items are weightless and cannot be damaged, and if the sash is destroyed the items tumble out of it, unharmed.","A subtle and minimal-looking sash, concealing a dozen small pockets in its folds. Surprisingly, these pockets can hold much larger objects than a belt pouch normally would.","Each of the sash’s 12 pouches can hold one object at a time, and as long as an object is no larger than 1 meter in any dimension it can be stored in a pouch, distorting as it slips away into the small opening. Items are stored and retrieved from pouches as though it were an easily-accessible location. While stored items are weightless and cannot be damaged, and if the sash is destroyed the items tumble out of it, unharmed.",OK
I106,Smuggler’s Belt,"A worn, simple, common-looking belt.
The belt has 5 visible pouches, each of which is an easily-accessible container that can hold a small object such as a Potion, vial of Poison, or Grenade.
The secret of the belt is that each pouch actually has two separate compartments within the belt, only one of which can be seen at a time. The wearer may manipulate the belt to determine which compartment is visible, which is a completely Subtle action that no onlookers will notice. Anyone who is not familiar with the specific belt will automatically fail any attempt to discover the non-visible compartments.","A worn, simple, common-looking belt.","The belt has 5 visible pouches, each of which is an easily-accessible container that can hold a small object such as a Potion, vial of Poison, or Grenade.
The secret of the belt is that each pouch actually has two separate compartments within the belt, only one of which can be seen at a time. The wearer may manipulate the belt to determine which compartment is visible, which is a completely Subtle action that no onlookers will notice. Anyone who is not familiar with the specific belt will automatically fail any attempt to discover the non-visible compartments.",OK
I107,Cobblestone Boots,"A thick, sturdy pair of boots with soles and heels made entirely of rough-hewn rock, although they are surprisingly comfortable and easy to wear in all terrains. When the wearer wades into a body of water, however, their legs move with no resistance from the water.
The wearer may move with no penalty underwater, at their full Speed, but the wearer is unaffected by any sort of buoyancy and walks along the floor of whatever body of water, moving simply as though the water were not there. Any other complications of being underwater, such as penalties to using weapons underwater or being unable to breathe underwater, are not mitigated by these boots and affect the wearer normally.","A thick, sturdy pair of boots with soles and heels made entirely of rough-hewn rock, although they are surprisingly comfortable and easy to wear in all terrains. When the wearer wades into a body of water, however, their legs move with no resistance from the water.","The wearer may move with no penalty underwater, at their full Speed, but the wearer is unaffected by any sort of buoyancy and walks along the floor of whatever body of water, moving simply as though the water were not there. Any other complications of being underwater, such as penalties to using weapons underwater or being unable to breathe underwater, are not mitigated by these boots and affect the wearer normally.",OK
I108,Feathered Sandals,"A breathtaking number of soft, smooth feathers (or materials patterned as such) are stitched into the sides of these soft sandals. The wearer feels a subtle lightness from their feet, as though they could jump from a balcony and float to the ground like a piece of parchment.
The wearer automatically succeeds on flips to avoid damage when falling 10 meters or less, suffering no damage or other penalty.","A breathtaking number of soft, smooth feathers (or materials patterned as such) are stitched into the sides of these soft sandals. The wearer feels a subtle lightness from their feet, as though they could jump from a balcony and float to the ground like a piece of parchment.","The wearer automatically succeeds on flips to avoid damage when falling 10 meters or less, suffering no damage or other penalty.",OK
I109,Lightfoot Shoes,"Ubiquitous across all peoples who weave magical power into items, these shoes come in virtually all shapes, sizes, designs, and materials. As such identifying these shoes at a glance is nearly impossible, although any exceptional footwear stand a good chance of having this enchantment.
These footwear give a +[enhancement's Level] bonus to Speed while worn.","Ubiquitous across all peoples who weave magical power into items, these shoes come in virtually all shapes, sizes, designs, and materials. As such identifying these shoes at a glance is nearly impossible, although any exceptional footwear stand a good chance of having this enchantment.",These footwear give a +[enhancement's Level] bonus to Speed while worn.,OK
I110,Slipstream Sandals,"Lightweight shoes woven with threads of silver and etched with runes that reach out to nearby magical currents, the subtle enchantment is nonetheless very useful and valued by experienced adventurers.
Once per encounter, for 0 AP, the boots allow the wearer to Teleport 3 meters.","Lightweight shoes woven with threads of silver and etched with runes that reach out to nearby magical currents, the subtle enchantment is nonetheless very useful and valued by experienced adventurers.","Once per encounter, for 0 AP, the boots allow the wearer to Teleport 3 meters.",OK
I111,Vaulting Boots,"Usually crafted as a light pair of leather boots with supple soles, these boots are widely used by all manner of adventurous individuals for their simple yet useful enchantment.
Once per encounter you may spend 1 AP to make a jump, without requiring a running start or a flip, up to 10 meters in any direction, and if you fall as part of the jump you ignore up to 10 meters of distance for the purpose of determining the difficulty of the Acrobatics flip to avoid falling damage.","Usually crafted as a light pair of leather boots with supple soles, these boots are widely used by all manner of adventurous individuals for their simple yet useful enchantment.","Once per encounter you may spend 1 AP to make a jump, without requiring a running start or a flip, up to 10 meters in any direction, and if you fall as part of the jump you ignore up to 10 meters of distance for the purpose of determining the difficulty of the Acrobatics flip to avoid falling damage.",OK
I112,Greaves of the Stalwart Guardian,"Appearing to be crude iron boots, heavy and awkward, the greaves feel as light as sandals and don’t encumber the wearer at all. Rather, when worn, they impart an unshakable sense of stability and steadfastness.
You cannot be unwillingly knocked over, Pushed, Shifted, Teleported, or otherwise moved unless they wish to be. Additionally, you ignore up to 3 degrees of Difficult Terrain at all times.
This item starts each encounter with 5 charges. When you would gain a stack of Slowed, you may expend a charge from this and instead you don’t gain that stack.","Appearing to be crude iron boots, heavy and awkward, the greaves feel as light as sandals and don’t encumber the wearer at all. Rather, when worn, they impart an unshakable sense of stability and steadfastness.","You cannot be unwillingly knocked over, Pushed, Shifted, Teleported, or otherwise moved unless they wish to be. Additionally, you ignore up to 3 degrees of Difficult Terrain at all times.
This item starts each encounter with 5 charges. When you would gain a stack of Slowed, you may expend a charge from this and instead you don’t gain that stack.",OK
I113,Evertoking Bottle,"A detailed metal carafe topped by a jeweled cap, fastened to the bottle by a fine chain. Through glass or jewels on the bottle one can occasionally see a faint haze moving within, as though smoke billowed about inside the bottle. When the cap is removed the bottle produces an endless supply of faintly herbal smoke, as a hookah or other water pipe that is being actively stoked.
For 1 AP the holder can remove the cap and cause the bottle to produce a cloud of smoke in a 2-meter-radius circle centered on the holder. This smoke provides Light Cover to anything in its area, or for the targets of any attacks made by someone in the area. The smoke hangs in the air for the encounter or until dispersed by a strong wind. The bottle can only produce one cloud per encounter.
If a creature that ends their turn in the cloud, make an attack with a bonus of +6 against their Vital Defense. If it hits, they gain the following based on the suit of the card flipped for the attack:
Spade: 2 stacks of Necrotic
Club: 1 stack of Vulnerable
Diamond: 1 stack of Slowed
Hearts: 1 stack of Crippled","A detailed metal carafe topped by a jeweled cap, fastened to the bottle by a fine chain. Through glass or jewels on the bottle one can occasionally see a faint haze moving within, as though smoke billowed about inside the bottle. When the cap is removed the bottle produces an endless supply of faintly herbal smoke, as a hookah or other water pipe that is being actively stoked.","For 1 AP the holder can remove the cap and cause the bottle to produce a cloud of smoke in a 2-meter-radius circle centered on the holder. This smoke provides Light Cover to anything in its area, or for the targets of any attacks made by someone in the area. The smoke hangs in the air for the encounter or until dispersed by a strong wind. The bottle can only produce one cloud per encounter.
If a creature that ends their turn in the cloud, make an attack with a bonus of +6 against their Vital Defense. If it hits, they gain the following based on the suit of the card flipped for the attack:
Spade: 2 stacks of Necrotic
Club: 1 stack of Vulnerable
Diamond: 1 stack of Slowed
Hearts: 1 stack of Crippled",OK
I114,Distant Scroll Cases,"A finely-made cylindrical case of horn, wood, or the like and immaculately engraved with a series of runes and glyphs, these cases usually come with a sturdy carrying strap and a lid that clasps firmly onto the opening of the case. Inside the case has room for a large sheaf of papers to be rolled and secured.
These cases are always produced in identical pairs, and have the wondrous property that they share the space inside of them, allowing documents or small objects placed in one case to be retrievable from the other case. However, if one case is open the lid on its matching case will not open.","A finely-made cylindrical case of horn, wood, or the like and immaculately engraved with a series of runes and glyphs, these cases usually come with a sturdy carrying strap and a lid that clasps firmly onto the opening of the case. Inside the case has room for a large sheaf of papers to be rolled and secured.","These cases are always produced in identical pairs, and have the wondrous property that they share the space inside of them, allowing documents or small objects placed in one case to be retrievable from the other case. However, if one case is open the lid on its matching case will not open.",OK
I115,Placeholder's Spacious Satchel,"An otherwise normal-looking leather satchel with a series of golden runes woven around the mouth of the bag, its only purpose is to make travel and adventuring easier by holding as much as it can. The inside of the bag looks to be made completely of shadow, but in reality the bag's enchantment causes any item placed within it to be shrunken down to a tiny size and placed in magical stasis.
Any object can be stored in the bag, although it must fit within the mouth of the satchel - a little larger than most people's heads - and the bag can hold 100 cubic meters (the size of a modest closet) worth of stuff. The bag is always treated as an easily-accessible location. No items will fall out of the bag if it is upended, although there is a specific method that will cause the bag to empty out all items inside of it in a heap on the ground.","An otherwise normal-looking leather satchel with a series of golden runes woven around the mouth of the bag, its only purpose is to make travel and adventuring easier by holding as much as it can. The inside of the bag looks to be made completely of shadow, but in reality the bag's enchantment causes any item placed within it to be shrunken down to a tiny size and placed in magical stasis.","Any object can be stored in the bag, although it must fit within the mouth of the satchel - a little larger than most people's heads - and the bag can hold 100 cubic meters (the size of a modest closet) worth of stuff. The bag is always treated as an easily-accessible location. No items will fall out of the bag if it is upended, although there is a specific method that will cause the bag to empty out all items inside of it in a heap on the ground.",OK
I116,Spirit Quest Ointment,"A strange and useful concoction, this ointment is infused with a strong yet balanced degree of both positive and negative spiritual elements. Similar tinctures have been used by many cultures for meditations and spirit quests, and through the refinement of recipes used in many traditions this ointment is accepted among modern alchemists as the most powerful and effective version. Through a lengthy ritual application of the ointment, a person can examine and even repair deeper levels of their spirit, tending to their supernatural well-being as though a small garden or sculpture.
The ointment is applied painstakingly and the recipient must engage in a long meditation, the full process taking 24 hours which must be uninterrupted or the item is wasted without effect. If the process is completed, the user may completely reassign all of their Experience, then benefits from a full night’s rest.","A strange and useful concoction, this ointment is infused with a strong yet balanced degree of both positive and negative spiritual elements. Similar tinctures have been used by many cultures for meditations and spirit quests, and through the refinement of recipes used in many traditions this ointment is accepted among modern alchemists as the most powerful and effective version. Through a lengthy ritual application of the ointment, a person can examine and even repair deeper levels of their spirit, tending to their supernatural well-being as though a small garden or sculpture.","The ointment is applied painstakingly and the recipient must engage in a long meditation, the full process taking 24 hours which must be uninterrupted or the item is wasted without effect. If the process is completed, the user may completely reassign all of their Experience, then benefits from a full night’s rest.",OK
I117,Light One-Handed Melee Weapon,"A light, one-handed melee weapon — a dagger, hand axe, rapier, or similar; pick whatever fits your character.",,"A light, one-handed melee weapon — a dagger, hand axe, rapier, or similar; pick whatever fits your character.","NEEDS REVIEW — only one paragraph, couldn't guess a fluff/effects split"
I118,Heavy One-Handed Melee Weapon,"A heavier one-handed melee weapon — a mace, shortsword, or similar; pick whatever fits your character.",,"A heavier one-handed melee weapon — a mace, shortsword, or similar; pick whatever fits your character.","NEEDS REVIEW — only one paragraph, couldn't guess a fluff/effects split"
I119,Light Two-Handed Melee Weapon,"A light, two-handed melee weapon — a spear, quarterstaff, or similar; pick whatever fits your character.",,"A light, two-handed melee weapon — a spear, quarterstaff, or similar; pick whatever fits your character.","NEEDS REVIEW — only one paragraph, couldn't guess a fluff/effects split"
I120,Heavy Two-Handed Melee Weapon,"A heavy two-handed melee weapon — a greatsword, war hammer, or similar; pick whatever fits your character.",,"A heavy two-handed melee weapon — a greatsword, war hammer, or similar; pick whatever fits your character.","NEEDS REVIEW — only one paragraph, couldn't guess a fluff/effects split"
I121,Light Thrown Weapon,"A light thrown weapon — throwing knives, darts, or similar. Only has a Range of Close when used with Melee.",,"A light thrown weapon — throwing knives, darts, or similar. Only has a Range of Close when used with Melee.","NEEDS REVIEW — only one paragraph, couldn't guess a fluff/effects split"
I122,Heavy Thrown Weapon,"A heavy thrown weapon — a javelin, hand axe meant for throwing, or similar. Only has a Range of Close when used with Melee.",,"A heavy thrown weapon — a javelin, hand axe meant for throwing, or similar. Only has a Range of Close when used with Melee.","NEEDS REVIEW — only one paragraph, couldn't guess a fluff/effects split"
I123,Light Bow,"A light bow, requiring two hands to wield.",,"A light bow, requiring two hands to wield.","NEEDS REVIEW — only one paragraph, couldn't guess a fluff/effects split"
I124,Heavy Bow,"A heavy bow, requiring two hands to wield.",,"A heavy bow, requiring two hands to wield.","NEEDS REVIEW — only one paragraph, couldn't guess a fluff/effects split"
I125,Unarmed,"Fighting with fists, claws, or whatever's on hand — no weapon required, and doesn't occupy a Held slot.",,"Fighting with fists, claws, or whatever's on hand — no weapon required, and doesn't occupy a Held slot.","NEEDS REVIEW — only one paragraph, couldn't guess a fluff/effects split"
I126,Shield,"A shield, occupying one Held slot — used for its high Defense bonus rather than to deal damage.",,"A shield, occupying one Held slot — used for its high Defense bonus rather than to deal damage.","NEEDS REVIEW — only one paragraph, couldn't guess a fluff/effects split"
I127,Improvised Weapon,"Whatever's within reach, used as a weapon. Counts as the closest type of weapon that fits its size and construction, with the listed modifications.",,"Whatever's within reach, used as a weapon. Counts as the closest type of weapon that fits its size and construction, with the listed modifications.","NEEDS REVIEW — only one paragraph, couldn't guess a fluff/effects split"
I128,Light Armor,"Light armor — a gambeson or jacket reinforced with small pieces of wood, or similar.",,"Light armor — a gambeson or jacket reinforced with small pieces of wood, or similar.","NEEDS REVIEW — only one paragraph, couldn't guess a fluff/effects split"
I129,Heavy Armor,"Heavy armor — made from plate or heavy chains of metal, or similar.",,"Heavy armor — made from plate or heavy chains of metal, or similar.","NEEDS REVIEW — only one paragraph, couldn't guess a fluff/effects split"
